passer,receiver,x,y,end_x,end_y,pass_outcome,pass_length,pass_angle,minute,second,team,match_id,match_date,opponent
Noussair Mazraoui,Sofiane Boufal,30.5,0.1,56.9,6.8,Incomplete,27.236923,0.24854054,19,22,Morocco,3857276,2022-12-01,Morocco
Steven de Sousa Vitoria,Mark Anthony Kaye,56.8,70.2,43.7,38.3,,34.48507,-1.960457,19,52,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,45.9,36.7,50.9,20.6,,16.858528,-1.2696807,19,55,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,56.0,15.6,59.1,22.0,,7.1112585,1.1197267,19,59,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,59.1,22.0,55.3,14.7,,8.229824,-2.050747,19,59,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,55.3,14.7,45.6,46.8,,33.533566,1.8642526,20,0,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Sam Adekugbe,50.3,45.2,94.8,0.1,Out,63.35819,-0.79209447,20,4,Canada,3857276,2022-12-01,Canada
Achraf Hakimi Mouh,Youssef En-Nesyri,26.2,80.0,34.7,70.4,,12.822247,-0.846097,20,27,Morocco,3857276,2022-12-01,Morocco
Youssef En-Nesyri,Noussair Mazraoui,34.8,70.4,34.7,30.0,,40.400124,-1.5732715,20,29,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Sofiane Boufal,51.5,17.4,62.0,24.1,,12.455521,0.56796074,20,34,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Sofyan Amrabat,62.9,24.1,43.5,29.3,,20.08482,2.8797073,20,35,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Azzedine Ounahi,46.5,28.8,57.4,41.5,,16.736189,0.86152196,20,38,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Sofyan Amrabat,54.3,37.0,46.6,25.7,,13.674063,-2.1689405,20,40,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Romain Saïss,42.8,23.4,27.4,41.3,,23.61292,2.28126,20,47,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Nayef Aguerd,33.8,41.8,38.7,72.3,,30.8911,1.4115018,20,52,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Yassine Bounou,35.9,72.0,18.0,44.8,,32.56148,-2.1528366,20,55,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Sofyan Amrabat,17.0,42.2,31.6,21.0,,25.741018,-0.96770865,20,59,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Romain Saïss,33.6,22.6,19.6,31.4,,16.536022,2.5804293,21,3,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Nayef Aguerd,19.6,31.4,28.6,63.6,,33.434113,1.2982484,21,6,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Achraf Hakimi Mouh,33.8,69.2,51.1,63.5,,18.214828,-0.31827834,21,9,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Nayef Aguerd,51.1,63.5,37.6,78.2,,19.958456,2.313667,21,10,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Yassine Bounou,33.6,76.6,9.9,53.6,,33.025597,-2.3711827,21,14,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Sofyan Amrabat,14.2,43.4,21.3,53.1,,12.020815,0.93894196,21,22,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Yassine Bounou,21.3,53.2,16.0,42.8,,11.672618,-2.0421066,21,24,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Abdelhamid Sabiri,16.0,42.8,29.3,40.8,,13.449535,-0.1492576,21,25,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Sofyan Amrabat,28.8,40.8,25.5,47.9,,7.8294315,2.0058804,21,26,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Achraf Hakimi Mouh,26.7,48.9,44.9,40.2,,20.172506,-0.4459111,21,27,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Abdelhamid Sabiri,44.9,40.2,45.4,47.5,,7.3171034,1.5024099,21,29,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Hakim Ziyech,46.6,47.7,85.4,78.5,,49.538673,0.67095786,21,30,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Azzedine Ounahi,81.3,80.0,86.8,76.1,,6.742403,-0.6168012,22,1,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Achraf Hakimi Mouh,86.8,75.9,81.6,77.8,Incomplete,5.5362444,2.7912784,22,3,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Nayef Aguerd,63.3,80.0,45.6,76.6,,18.023596,-2.951814,22,12,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Noussair Mazraoui,43.3,57.9,44.6,24.0,,33.924915,-1.532467,22,16,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Romain Saïss,43.5,24.8,23.1,35.4,,22.989563,2.6623821,22,20,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Nayef Aguerd,23.6,39.4,23.1,62.9,,23.505318,1.5920697,22,26,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Achraf Hakimi Mouh,22.2,62.4,36.8,78.7,,21.88264,0.8403589,22,28,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Youssef En-Nesyri,39.0,79.2,97.9,56.4,,63.158928,-0.36933365,22,31,Morocco,3857276,2022-12-01,Morocco
Alphonso Davies,Mark Anthony Kaye,60.0,40.0,45.9,36.6,,14.504137,-2.904975,24,3,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Steven de Sousa Vitoria,45.7,35.7,39.5,48.0,,13.774251,2.0376906,24,5,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,39.3,50.2,45.9,55.3,,8.340863,0.6578886,24,7,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Steven de Sousa Vitoria,45.9,54.2,37.1,41.4,,15.533191,-2.1730838,24,9,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Mark Anthony Kaye,37.1,41.4,43.5,36.2,,8.246211,-0.68231654,24,10,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,44.7,36.2,36.4,20.3,,17.935997,-2.0518985,24,11,Canada,3857276,2022-12-01,Canada
Kamal Miller,Sam Adekugbe,36.6,18.0,49.9,1.0,,21.584486,-0.9069088,24,14,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Alphonso Davies,51.1,1.0,98.1,17.7,Incomplete,49.878754,0.3414056,24,16,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alphonso Davies,95.6,1.0,105.2,0.1,Out,9.642096,-0.09347678,24,27,Canada,3857276,2022-12-01,Canada
Achraf Hakimi Mouh,Hakim Ziyech,14.2,80.0,19.9,75.9,,7.0213957,-0.6235607,24,56,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Achraf Hakimi Mouh,19.3,75.6,14.4,79.6,,6.325346,2.4569755,24,57,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Hakim Ziyech,14.2,78.7,15.3,75.8,,3.1016126,-1.2082521,24,59,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Youssef En-Nesyri,15.7,77.4,22.1,80.0,Out,6.9079666,0.38588268,24,59,Morocco,3857276,2022-12-01,Morocco
Kamal Miller,Mark Anthony Kaye,92.5,0.1,76.6,4.0,,16.371317,2.9010584,25,7,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Steven de Sousa Vitoria,70.9,15.4,63.8,29.5,,15.786703,2.0372767,25,11,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Mark Anthony Kaye,63.8,29.5,68.6,19.8,,10.822661,-1.1112809,25,13,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,68.8,19.8,74.7,2.3,,18.46781,-1.2456211,25,15,Canada,3857276,2022-12-01,Canada
Kamal Miller,Alphonso Davies,81.1,3.5,92.4,19.8,,19.833809,0.9646139,25,18,Canada,3857276,2022-12-01,Canada
Alphonso Davies,David Junior Hoilett,94.3,25.5,97.7,61.7,,36.359318,1.4771484,25,21,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Jonathan Osorio,97.4,61.5,112.3,53.5,,16.91183,-0.49273992,25,24,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Jonathan Osorio,79.2,39.7,89.2,59.8,,22.450167,1.1091408,25,35,Canada,3857276,2022-12-01,Canada
Romain Saïss,Youssef En-Nesyri,21.2,21.4,70.0,25.5,,48.97193,0.083819546,26,30,Morocco,3857276,2022-12-01,Morocco
Kamal Miller,Tajon Buchanan,43.0,39.0,57.5,19.2,,24.541597,-0.93870467,26,37,Canada,3857276,2022-12-01,Canada
Tajon Buchanan,Sam Adekugbe,49.6,0.1,32.1,4.2,,17.97387,2.9114578,26,46,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Mark Anthony Kaye,32.2,4.2,38.5,17.9,,15.079124,1.1397781,26,49,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Steven de Sousa Vitoria,39.7,20.8,40.6,54.4,,33.612053,1.544017,26,52,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,David Junior Hoilett,47.5,56.3,68.8,77.1,,29.771296,0.77352226,26,56,Canada,3857276,2022-12-01,Canada
Sofiane Boufal,Abdelhamid Sabiri,33.5,1.1,42.5,10.1,,12.727922,0.7853982,27,2,Morocco,3857276,2022-12-01,Morocco
Steven de Sousa Vitoria,Alistair Johnston,74.5,56.0,68.3,64.3,,10.36002,2.2123668,27,7,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Kamal Miller,69.5,64.5,43.8,39.5,,35.85373,-2.3700004,27,11,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,47.1,39.0,51.6,53.2,,14.895972,1.2639067,27,16,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,50.8,52.0,57.9,70.2,,19.535864,1.1988449,27,19,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Steven de Sousa Vitoria,57.4,69.7,54.9,58.6,,11.378049,-1.7923251,27,21,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Mark Anthony Kaye,55.1,58.4,64.5,52.3,,11.205802,-0.57562697,27,22,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Jonathan Osorio,67.4,52.3,79.0,74.7,,25.225384,1.0929652,27,24,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Cyle Larin,80.1,76.8,85.4,57.5,,20.014494,-1.3027915,27,26,Canada,3857276,2022-12-01,Canada
Cyle Larin,Jonathan Osorio,85.4,57.5,78.8,66.0,,10.761505,2.2310245,27,27,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Kamal Miller,76.2,64.6,53.2,33.3,,38.841858,-2.204514,27,30,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,62.6,26.5,57.2,47.0,,21.199293,1.8283601,27,36,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Jonathan Osorio,63.1,50.4,68.6,52.3,,5.8189344,0.3326197,27,40,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Mark Anthony Kaye,67.9,51.5,76.2,41.6,,12.918979,-0.87308484,27,41,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,David Junior Hoilett,82.5,49.4,116.8,56.3,Incomplete,34.98714,0.19851664,27,44,Canada,3857276,2022-12-01,Canada
Romain Saïss,Noussair Mazraoui,6.4,13.4,19.4,7.8,,14.154858,-0.40674707,27,50,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Achraf Hakimi Mouh,27.7,6.8,20.1,75.9,,69.516685,1.6803416,28,10,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Hakim Ziyech,23.4,76.6,37.3,77.1,,13.90899,0.03595572,28,16,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Achraf Hakimi Mouh,35.0,77.7,26.5,78.5,,8.537564,3.0477514,28,18,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Azzedine Ounahi,27.7,78.5,39.7,74.0,,12.816006,-0.35877067,28,21,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Nayef Aguerd,35.0,77.1,17.3,62.4,,23.008259,-2.4485238,29,0,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Romain Saïss,17.3,62.6,14.9,20.3,,42.36803,-1.6274731,29,3,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Noussair Mazraoui,14.4,17.9,29.8,7.0,,18.867167,-0.6159365,29,6,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Romain Saïss,25.3,12.2,16.3,5.4,,11.280071,-2.4945455,29,9,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,Steven de Sousa Vitoria,57.9,70.0,44.5,61.2,,16.03122,-2.5605104,29,26,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Kamal Miller,44.9,61.2,37.6,21.8,,40.070564,-1.753998,29,27,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,47.1,21.8,43.8,50.2,,28.591082,1.6864748,29,35,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Sam Adekugbe,45.4,51.1,100.7,0.1,Out,75.22692,-0.74496865,29,38,Canada,3857276,2022-12-01,Canada
Achraf Hakimi Mouh,Youssef En-Nesyri,19.1,80.0,36.0,77.6,Incomplete,17.069563,-0.14106855,29,58,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Youssef En-Nesyri,52.2,53.2,79.5,57.4,Pass Offside,27.621187,0.15264933,30,4,Morocco,3857276,2022-12-01,Morocco
Sam Adekugbe,Mark Anthony Kaye,27.9,1.2,33.6,10.6,,10.993179,1.0256966,30,20,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Steven de Sousa Vitoria,38.6,16.6,31.9,29.6,,14.624979,2.0466757,30,26,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,32.6,29.5,37.1,47.8,,18.845158,1.3296787,30,28,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Steven de Sousa Vitoria,50.6,52.8,39.9,34.3,,21.371477,-2.0951657,30,34,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Kamal Miller,42.3,33.4,43.7,17.0,,16.459648,-1.485637,30,37,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,43.5,16.8,38.5,37.6,,21.392523,1.806705,30,40,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,40.7,39.5,44.0,50.8,,11.772,1.2866625,30,43,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Steven de Sousa Vitoria,49.2,53.9,45.1,36.6,,17.779202,-1.8034973,30,47,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Kamal Miller,54.4,36.2,49.2,15.9,,20.95543,-1.8215619,30,51,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,51.6,13.0,57.4,19.9,,9.013878,0.8717967,30,56,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Sam Adekugbe,57.2,19.9,63.6,0.9,,20.04894,-1.2458912,30,57,Canada,3857276,2022-12-01,Canada
Achraf Hakimi Mouh,Hakim Ziyech,48.0,80.0,56.3,74.9,,9.741663,-0.5509825,31,29,Morocco,3857276,2022-12-01,Morocco
Sam Adekugbe,Kamal Miller,55.3,0.1,37.8,7.1,,18.848078,2.7610862,31,36,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,37.3,13.0,45.6,33.1,,21.746264,1.1791887,31,40,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alistair Johnston,47.5,41.1,50.1,53.0,,12.180722,1.3556893,31,44,Canada,3857276,2022-12-01,Canada
Alistair Johnston,David Junior Hoilett,57.2,58.4,75.0,72.1,,22.461744,0.65596706,31,47,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Steven de Sousa Vitoria,76.2,67.1,57.4,44.9,,29.090893,-2.273457,31,51,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Kamal Miller,63.1,41.8,68.4,14.0,,28.300707,-1.3824096,31,55,Canada,3857276,2022-12-01,Canada
Kamal Miller,Sam Adekugbe,67.9,13.0,76.1,1.2,,14.369412,-0.9634911,31,58,Canada,3857276,2022-12-01,Canada
Sam Adekugbe,Kamal Miller,76.1,1.6,57.0,14.7,,23.160742,2.5404172,31,59,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,57.2,14.9,50.3,39.3,,25.356853,1.8463874,32,2,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,45.9,43.7,52.0,54.2,,12.143311,1.0445002,32,5,Canada,3857276,2022-12-01,Canada
Alistair Johnston,David Junior Hoilett,70.4,60.3,74.7,76.9,,17.147886,1.3173313,32,9,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Mark Anthony Kaye,74.2,76.2,75.2,59.4,,16.829735,-1.5113426,32,11,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alistair Johnston,76.2,59.4,92.5,50.8,,18.429596,-0.4854888,32,13,Canada,3857276,2022-12-01,Canada
Abdelhamid Sabiri,Yassine Bounou,26.5,28.3,8.2,36.3,,19.97223,2.7294688,32,17,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Sofyan Amrabat,8.2,36.3,20.5,35.9,,12.306502,-0.03250887,32,20,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Hakim Ziyech,20.1,43.2,34.0,74.9,,34.613583,1.1575588,32,23,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Yassine Bounou,33.5,74.7,5.6,49.6,,37.528923,-2.4089756,32,25,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Romain Saïss,4.9,45.6,19.9,35.2,,18.25267,-0.60623765,32,30,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Achraf Hakimi Mouh,26.7,31.2,75.2,78.0,,67.397995,0.7675617,32,33,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Hakim Ziyech,75.7,78.2,69.5,75.6,,6.7230945,-2.7445133,32,36,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Achraf Hakimi Mouh,82.0,71.8,110.9,76.6,,29.295904,0.16458751,32,39,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Sofiane Boufal,110.9,76.6,104.2,41.3,,35.93021,-1.7583668,32,42,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Abdelhamid Sabiri,104.2,41.3,107.9,34.2,,8.0062475,-1.0903906,32,43,Morocco,3857276,2022-12-01,Morocco
Milan Borjan,Steven de Sousa Vitoria,15.6,48.9,28.9,48.0,,13.330417,-0.067566164,34,55,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Kamal Miller,32.1,44.7,36.7,22.0,,23.16139,-1.3708606,34,58,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,44.0,23.7,39.3,49.7,,26.421392,1.7496343,35,6,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,43.5,51.5,45.4,58.0,,6.7720013,1.2864115,35,9,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Tajon Buchanan,54.8,54.2,78.3,8.1,Incomplete,51.74418,-1.0993701,35,12,Canada,3857276,2022-12-01,Canada
Achraf Hakimi Mouh,Sofyan Amrabat,48.0,54.6,43.9,41.6,,13.631214,-1.876307,35,17,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Nayef Aguerd,42.5,41.6,28.6,60.5,,23.461031,2.20492,35,19,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Yassine Bounou,26.2,59.3,10.1,44.9,,21.600231,-2.4118745,35,21,Morocco,3857276,2022-12-01,Morocco
Yassine Bounou,Romain Saïss,9.9,43.7,14.9,11.7,,32.38827,-1.4157996,35,24,Morocco,3857276,2022-12-01,Morocco
Romain Saïss,Sofiane Boufal,24.6,7.8,50.1,18.2,,27.539246,0.38724935,35,28,Morocco,3857276,2022-12-01,Morocco
Sofiane Boufal,Noussair Mazraoui,49.6,16.3,54.8,6.8,,10.83005,-1.0699757,35,29,Morocco,3857276,2022-12-01,Morocco
Noussair Mazraoui,Youssef En-Nesyri,56.5,5.8,70.0,24.5,Incomplete,23.063824,0.9455066,35,30,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,David Junior Hoilett,50.1,65.8,40.6,74.0,,12.549502,2.4295092,35,35,Canada,3857276,2022-12-01,Canada
David Junior Hoilett,Jonathan Osorio,39.9,74.3,71.0,69.1,,31.53173,-0.16567005,35,36,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,David Junior Hoilett,70.4,68.1,61.0,73.1,,10.647065,2.6527402,35,40,Canada,3857276,2022-12-01,Canada
Noussair Mazraoui,Sofiane Boufal,57.4,0.1,77.6,3.7,,20.518284,0.17636615,36,4,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,Steven de Sousa Vitoria,43.8,73.6,34.0,66.0,,12.401613,-2.4819639,36,7,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Mark Anthony Kaye,33.6,66.0,38.5,52.2,,14.644112,-1.2296097,36,8,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alphonso Davies,40.4,49.2,56.8,44.5,,17.060188,-0.2791048,36,11,Canada,3857276,2022-12-01,Canada
Alphonso Davies,Kamal Miller,57.0,44.5,31.4,20.6,,35.022423,-2.3905244,36,12,Canada,3857276,2022-12-01,Canada
Kamal Miller,Mark Anthony Kaye,32.9,21.3,40.6,37.9,,18.298906,1.1364802,36,15,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Alphonso Davies,40.2,36.4,56.5,32.2,Incomplete,16.832409,-0.25218314,36,17,Canada,3857276,2022-12-01,Canada
Azzedine Ounahi,Sofyan Amrabat,74.5,48.7,64.1,43.9,,11.454257,-2.709185,36,21,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Abdelhamid Sabiri,64.0,43.9,71.9,34.0,,12.665702,-0.89728844,36,22,Morocco,3857276,2022-12-01,Morocco
Abdelhamid Sabiri,Noussair Mazraoui,64.8,30.4,57.7,0.6,Out,30.63413,-1.8046907,36,25,Morocco,3857276,2022-12-01,Morocco
Alistair Johnston,Jonathan Osorio,54.1,80.0,55.8,71.2,,8.962701,-1.3799652,36,43,Canada,3857276,2022-12-01,Canada
Jonathan Osorio,Alistair Johnston,51.1,70.5,55.5,75.7,,6.8117547,0.8685394,36,47,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Cyle Larin,56.8,77.1,80.2,75.7,,23.441843,-0.059757825,36,48,Canada,3857276,2022-12-01,Canada
Cyle Larin,Tajon Buchanan,92.9,71.7,95.5,67.6,Incomplete,4.8548946,-1.005647,36,53,Canada,3857276,2022-12-01,Canada
Milan Borjan,Kamal Miller,38.3,50.2,53.9,27.2,,27.791365,-0.9748099,37,15,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,56.0,27.2,47.0,51.5,,25.913124,1.925502,37,20,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Alistair Johnston,46.4,61.2,47.7,70.0,,8.895505,1.4241298,37,23,Canada,3857276,2022-12-01,Canada
Alistair Johnston,Milan Borjan,47.5,70.0,24.8,41.4,,36.513695,-2.2416878,37,24,Canada,3857276,2022-12-01,Canada
Milan Borjan,Kamal Miller,27.9,39.0,37.1,19.8,,21.290373,-1.1239538,37,28,Canada,3857276,2022-12-01,Canada
Kamal Miller,Alphonso Davies,44.9,18.0,60.6,29.3,,19.343733,0.62385523,37,33,Canada,3857276,2022-12-01,Canada
Alphonso Davies,Mark Anthony Kaye,51.1,22.4,51.1,6.4,,16.0,-1.5707964,37,36,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,51.1,6.1,38.1,12.8,,14.624979,2.6657133,37,39,Canada,3857276,2022-12-01,Canada
Kamal Miller,Steven de Sousa Vitoria,38.6,13.9,34.5,50.8,,37.12708,1.6814536,37,40,Canada,3857276,2022-12-01,Canada
Steven de Sousa Vitoria,Mark Anthony Kaye,44.0,50.1,46.8,39.3,,11.157061,-1.3171222,37,46,Canada,3857276,2022-12-01,Canada
Mark Anthony Kaye,Kamal Miller,54.9,30.0,54.4,7.8,,22.20563,-1.593315,37,51,Canada,3857276,2022-12-01,Canada
Kamal Miller,Cyle Larin,57.0,7.8,91.1,26.0,Incomplete,38.652943,0.4902617,37,54,Canada,3857276,2022-12-01,Canada
Romain Saïss,Sofyan Amrabat,29.0,54.1,33.8,56.0,,5.162364,0.37690926,37,55,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Nayef Aguerd,28.6,54.6,22.0,59.0,,7.932213,2.55359,37,57,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Achraf Hakimi Mouh,21.0,58.4,20.6,72.5,,14.105673,1.5991576,37,59,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Nayef Aguerd,20.5,67.3,6.8,68.5,,13.752455,3.0542245,38,2,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Youssef En-Nesyri,7.0,61.4,45.9,55.8,Unknown,39.301018,-0.14297658,38,5,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Sofyan Amrabat,46.1,57.4,44.0,54.1,,3.9115214,-2.1375256,38,34,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Achraf Hakimi Mouh,44.0,54.1,46.3,57.4,,4.022437,0.962107,38,35,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Sofyan Amrabat,46.5,59.0,43.9,53.2,,6.3560996,-1.9922155,38,35,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Achraf Hakimi Mouh,43.3,53.6,46.1,61.2,,8.099382,1.217806,38,36,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Nayef Aguerd,46.1,61.2,30.5,56.4,,16.321764,-2.8430936,38,36,Morocco,3857276,2022-12-01,Morocco
Nayef Aguerd,Sofyan Amrabat,30.7,56.4,39.4,51.2,,10.135581,-0.53872746,38,37,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Achraf Hakimi Mouh,39.0,51.2,38.7,71.6,,20.402206,1.5855012,38,39,Morocco,3857276,2022-12-01,Morocco
Achraf Hakimi Mouh,Sofyan Amrabat,38.7,71.6,40.2,59.1,,12.589679,-1.4513674,38,40,Morocco,3857276,2022-12-01,Morocco
Sofyan Amrabat,Azzedine Ounahi,40.2,59.1,49.6,74.0,,17.617321,1.0079852,38,41,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Hakim Ziyech,48.5,77.0,54.9,79.1,,6.735726,0.31705576,38,43,Morocco,3857276,2022-12-01,Morocco
Hakim Ziyech,Azzedine Ounahi,53.9,78.5,61.9,77.0,,8.13941,-0.18534794,38,45,Morocco,3857276,2022-12-01,Morocco
Azzedine Ounahi,Sofiane Boufal,88.7,57.9,109.3,61.9,,20.984756,0.19178814,38,49,Morocco,3857276,2022-12-01,Morocco
